Using CUDA GPU
Using AdamW optimizer (lr=0.0003)
Step 610/2000  loss: 3.549  lr: 0.000249754  step_ms: 58  tok/s: 34386  ETA: 1m
Step 620/2000  loss: 3.8132  lr: 0.000247888  step_ms: 58  tok/s: 34386  ETA: 1m
Step 630/2000  loss: 3.59008  lr: 0.000245995  step_ms: 58  tok/s: 34384  ETA: 1m
Step 640/2000  loss: 3.98193  lr: 0.000244076  step_ms: 58  tok/s: 34387  ETA: 1m
Step 650/2000  loss: 3.93246  lr: 0.000242132  step_ms: 61  tok/s: 34389  ETA: 1m
Step 660/2000  loss: 3.77638  lr: 0.000240162  step_ms: 58  tok/s: 34393  ETA: 1m
Step 670/2000  loss: 3.68642  lr: 0.000238168  step_ms: 59  tok/s: 34395  ETA: 1m
Step 680/2000  loss: 3.74202  lr: 0.000236149  step_ms: 60  tok/s: 34395  ETA: 1m
Step 690/2000  loss: 3.76818  lr: 0.000234107  step_ms: 59  tok/s: 34397  ETA: 1m
Step 700/2000  loss: 3.81041  lr: 0.000232042  step_ms: 58  tok/s: 34400  ETA: 1m
Step 710/2000  loss: 3.7164  lr: 0.000229955  step_ms: 60  tok/s: 34400  ETA: 1m
Step 720/2000  loss: 3.83314  lr: 0.000227845  step_ms: 59  tok/s: 34403  ETA: 1m
Step 730/2000  loss: 3.64681  lr: 0.000225715  step_ms: 58  tok/s: 34406  ETA: 1m
Step 740/2000  loss: 3.58345  lr: 0.000223564  step_ms: 58  tok/s: 34408  ETA: 1m
Step 750/2000  loss: 3.46896  lr: 0.000221392  step_ms: 58  tok/s: 34409  ETA: 1m
Step 760/2000  loss: 3.98396  lr: 0.000219201  step_ms: 59  tok/s: 34410  ETA: 1m
Step 770/2000  loss: 3.91057  lr: 0.000216991  step_ms: 58  tok/s: 34408  ETA: 1m
Step 780/2000  loss: 3.49487  lr: 0.000214763  step_ms: 59  tok/s: 34409  ETA: 1m
Step 790/2000  loss: 3.864  lr: 0.000212517  step_ms: 58  tok/s: 34410  ETA: 1m
Step 800/2000  loss: 3.59496  lr: 0.000210254  step_ms: 58  tok/s: 34410  ETA: 1m
Step 810/2000  loss: 3.67006  lr: 0.000207975  step_ms: 61  tok/s: 34410  ETA: 1m
Step 820/2000  loss: 3.71488  lr: 0.00020568  step_ms: 63  tok/s: 34409  ETA: 1m
Step 830/2000  loss: 3.60944  lr: 0.000203369  step_ms: 59  tok/s: 34411  ETA: 1m
Step 840/2000  loss: 3.73793  lr: 0.000201044  step_ms: 60  tok/s: 34409  ETA: 1m
Step 850/2000  loss: 3.5191  lr: 0.000198705  step_ms: 58  tok/s: 34411  ETA: 1m
Step 860/2000  loss: 3.80334  lr: 0.000196353  step_ms: 58  tok/s: 34412  ETA: 1m
Step 870/2000  loss: 3.82784  lr: 0.000193988  step_ms: 58  tok/s: 34411  ETA: 1m
Step 880/2000  loss: 3.73669  lr: 0.00019161  step_ms: 58  tok/s: 34412  ETA: 1m
Step 890/2000  loss: 3.75825  lr: 0.000189222  step_ms: 58  tok/s: 34414  ETA: 1m
Step 900/2000  loss: 3.38564  lr: 0.000186823  step_ms: 58  tok/s: 34414  ETA: 1m
Step 910/2000  loss: 3.56943  lr: 0.000184414  step_ms: 58  tok/s: 34414  ETA: 1m
Step 920/2000  loss: 3.58483  lr: 0.000181995  step_ms: 58  tok/s: 34416  ETA: 1m
Step 930/2000  loss: 3.47155  lr: 0.000179568  step_ms: 61  tok/s: 34417  ETA: 1m
