
╔══════════════════════════════════════════════╗
║  SEED: 42                                   ║
║  Mode: explicit (--seed)                    ║
╚══════════════════════════════════════════════╝

Device: CUDA GPU
Backend: CUDA (fused kernels)
Config: /tmp/olmo_30M_chat.BLNTRe.conf
[µP] Initializing with base_width=256, target_width=256, width_ratio=1
[µP] Initialized 29930496 parameters
Model: 29M params (d=256, layers=4, heads=8, µP)
Step 940 loss: 10.8248 lr: 0.000177132 seq_len: 256
Step 950 loss: 10.8248 lr: 0.000174689 seq_len: 256
Step 960 loss: 10.8248 lr: 0.00017224 seq_len: 256
Step 970 loss: 10.8248 lr: 0.000169784 seq_len: 256
Step 980 loss: 10.8248 lr: 0.000167323 seq_len: 256
Step 990 loss: 10.8248 lr: 0.000164857 seq_len: 256
Step 1000 loss: 10.8248 lr: 0.000162387 seq_len: 256
Step 1010 loss: 10.8248 lr: 0.000159914 seq_len: 256
Step 1020 loss: 10.8248 lr: 0.000157438 seq_len: 256
Step 1030 loss: 10.8248 lr: 0.00015496 seq_len: 256
Step 1040 loss: 10.8248 lr: 0.00015248 seq_len: 256
Step 1050 loss: 10.8248 lr: 0.00015 seq_len: 256
Step 1060 loss: 10.8248 lr: 0.00014752 seq_len: 256
Step 1070 loss: 10.8248 lr: 0.00014504 seq_len: 256
Step 1080 loss: 10.8248 lr: 0.000142562 seq_len: 256
Step 1090 loss: 10.8248 lr: 0.000140086 seq_len: 256
Step 1100 loss: 10.8248 lr: 0.000137613 seq_len: 256
Step 1110 loss: 10.8248 lr: 0.000135143 seq_len: 256
Step 1120 loss: 10.8248 lr: 0.000132677 seq_len: 256
Step 1130 loss: 10.8248 lr: 0.000130216 seq_len: 256
Step 1140 loss: 10.8248 lr: 0.00012776 seq_len: 256
Step 1150 loss: 10.8248 lr: 0.000125311 seq_len: 256
Step 1160 loss: 10.8248 lr: 0.000122868 seq_len: 256
Step 1170 loss: 10.8248 lr: 0.000120432 seq_len: 256
Step 1180 loss: 10.8248 lr: 0.000118005 seq_len: 256
Step 1190 loss: 10.8248 lr: 0.000115586 seq_len: 256
Step 1200 loss: 10.8248 lr: 0.000113177 seq_len: 256
Step 1210 loss: 10.8248 lr: 0.000110778 seq_len: 256
Step 1220 loss: 10.8248 lr: 0.00010839 seq_len: 256
Step 1230 loss: 10.8248 lr: 0.000106012 seq_len: 256
Step 1240 loss: 10.8248 lr: 0.000103647 seq_len: 256
Step 1250 loss: 10.8248 lr: 0.000101295 seq_len: 256
Step 1260 loss: 10.8248 lr: 9.8956e-05 seq_len: 256
Step 1270 loss: 10.8248 lr: 9.66309e-05 seq_len: 256
Step 1280 loss: 10.8248 lr: 9.43204e-05 seq_len: 256
Step 1290 loss: 10.8248 lr: 9.20251e-05 seq_len: 256
Step 1300 loss: 10.8248 lr: 8.97457e-05 seq_len: 256
Step 1310 loss: 10.8248 lr: 8.74827e-05 seq_len: 256
Step 1320 loss: 10.8248 lr: 8.52368e-05 seq_len: 256
Step 1330 loss: 10.8248 lr: 8.30087e-05 seq_len: 256
Step 1340 loss: 10.8248 lr: 8.07988e-05 seq_len: 256
Step 1350 loss: 10.8248 lr: 7.86079e-05 seq_len: 256
Step 1360 loss: 10.8248 lr: 7.64365e-05 seq_len: 256
Step 1370 loss: 10.8248 lr: 7.42852e-05 seq_len: 256
Step 1380 loss: 10.8248 lr: 7.21546e-05 seq_len: 256
Step 1390 loss: 10.8248 lr: 7.00452e-05 seq_len: 256
Step 1400 loss: 10.8248 lr: 6.79578e-05 seq_len: 256
Step 1410 loss: 10.8248 lr: 6.58927e-05 seq_len: 256
Step 1420 loss: 10.8248 lr: 6.38507e-05 seq_len: 256
Step 1430 loss: 10.8248 lr: 6.18322e-05 seq_len: 256
Step 1440 loss: 10.8248 lr: 5.98378e-05 seq_len: 256
Step 1450 loss: 10.8248 lr: 5.78681e-05 seq_len: 256
Step 1460 loss: 10.8248 lr: 5.59235e-05 seq_len: 256
Step 1470 loss: 10.8248 lr: 5.40047e-05 seq_len: 256
Step 1480 loss: 10.8248 lr: 5.21121e-05 seq_len: 256
Step 1490 loss: 10.8248 lr: 5.02463e-05 seq_len: 256
Step 1500 loss: 10.8248 lr: 4.84078e-05 seq_len: 256
Step 1510 loss: 10.8248 lr: 4.6597e-05 seq_len: 256
Step 1520 loss: 10.8248 lr: 4.48145e-05 seq_len: 256
Step 1530 loss: 10.8248 lr: 4.30607e-05 seq_len: 256
Step 1540 loss: 10.8248 lr: 4.13362e-05 seq_len: 256
Step 1550 loss: 10.8248 lr: 3.96414e-05 seq_len: 256
Step 1560 loss: 10.8248 lr: 3.79768e-05 seq_len: 256
Step 1570 loss: 10.8248 lr: 3.63428e-05 seq_len: 256
Step 1580 loss: 10.8248 lr: 3.47398e-05 seq_len: 256
Step 1590 loss: 10.8248 lr: 3.31684e-05 seq_len: 256
Step 1600 loss: 10.8248 lr: 3.16289e-05 seq_len: 256
Step 1610 loss: 10.8248 lr: 3.01218e-05 seq_len: 256
Step 1620 loss: 10.8248 lr: 2.86475e-05 seq_len: 256
Step 1630 loss: 10.8248 lr: 2.72063e-05 seq_len: 256
Step 1640 loss: 10.8248 lr: 2.57987e-05 seq_len: 256
Step 1650 loss: 10.8248 lr: 2.4425e-05 seq_len: 256
Step 1660 loss: 10.8248 lr: 2.30857e-05 seq_len: 256
Step 1670 loss: 10.8248 lr: 2.17811e-05 seq_len: 256
Step 1680 loss: 10.8248 lr: 2.05115e-05 seq_len: 256
Step 1690 loss: 10.8248 lr: 1.92774e-05 seq_len: 256
Step 1700 loss: 10.8248 lr: 1.80789e-05 seq_len: 256
Step 1710 loss: 10.8248 lr: 1.69166e-05 seq_len: 256
Step 1720 loss: 10.8248 lr: 1.57906e-05 seq_len: 256
Step 1730 loss: 10.8248 lr: 1.47013e-05 seq_len: 256
Step 1740 loss: 10.8248 lr: 1.3649e-05 seq_len: 256
Step 1750 loss: 10.8248 lr: 1.2634e-05 seq_len: 256
Step 1760 loss: 10.8248 lr: 1.16565e-05 seq_len: 256
Step 1770 loss: 10.8248 lr: 1.07169e-05 seq_len: 256
Step 1780 loss: 10.8248 lr: 9.81533e-06 seq_len: 256
Step 1790 loss: 10.8248 lr: 8.95209e-06 seq_len: 256
Step 1800 loss: 10.8248 lr: 8.12741e-06 seq_len: 256
Step 1810 loss: 10.8248 lr: 7.34152e-06 seq_len: 256
Step 1820 loss: 10.8248 lr: 6.59463e-06 seq_len: 256
Step 1830 loss: 10.8248 lr: 5.88695e-06 seq_len: 256
Step 1840 loss: 10.8248 lr: 5.21866e-06 seq_len: 256
Step 1850 loss: 10.8248 lr: 4.58996e-06 seq_len: 256
Step 1860 loss: 10.8248 lr: 4.00101e-06 seq_len: 256
Step 1870 loss: 10.8248 lr: 3.45198e-06 seq_len: 256
Step 1880 loss: 10.8248 lr: 2.94301e-06 seq_len: 256
Step 1890 loss: 10.8248 lr: 2.47424e-06 seq_len: 256
Step 1900 loss: 10.8248 lr: 2.0458e-06 seq_len: 256
Step 1910 loss: 10.8248 lr: 1.65782e-06 seq_len: 256
Step 1920 loss: 10.8248 lr: 1.31039e-06 seq_len: 256
Step 1930 loss: 10.8248 lr: 1.00361e-06 seq_len: 256
Step 1940 loss: 10.8248 lr: 7.37565e-07 seq_len: 256
Step 1950 loss: 10.8248 lr: 5.12326e-07 seq_len: 256
Step 1960 loss: 10.8248 lr: 3.27956e-07 seq_len: 256
Step 1970 loss: 10.8248 lr: 1.84505e-07 seq_len: 256
Step 1980 loss: 10.8248 lr: 8.20114e-08 seq_len: 256
Step 1990 loss: 10.8248 lr: 2.05043e-08 seq_len: 256
Training complete.
Checkpoint saved: /home/dkruger/tmp/ru/olmo-xp/OLMo-corecpp/checkpoints/30M_experimental.pt
